"Name","Group","Hostname","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.length","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_loss","train_loss"
"fold_ppc64","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:00:55.000Z","79","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.005327389109879732","1","","0.7444405224144017","0.7444405224144017","0.5130081819163428","0.005407044624322628"
"fold_powerpcspe","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T16:59:36.000Z","78","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.000059572823374764994","1","","1","1","0.00015805848937405596","0.005022436553982456"
"fold_powerpc","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T16:58:18.000Z","77","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.00004805501157534309","1","","1","1","0.00006212063455454322","0.005187065890008382"
"fold_mipsel","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T16:57:01.000Z","76","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.0004752978857140988","1","","0.9994701986754968","0.9994701986754968","0.0015738552918542232","0.0055847888583241394"
"fold_mips64el","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T16:55:44.000Z","76","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.00028529937844723463","1","","0.9816790352504638","0.9816790352504638","0.047129920031532976","0.004974526260683723"
"fold_mips","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T16:54:27.000Z","76","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.17820654809474945","1","","0.970266479663394","0.970266479663394","0.09410836958808692","0.0052461767878001315"
"fold_m68k","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T16:53:09.000Z","76","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.0007076374022290111","1","","0.7836363636363637","0.7836363636363637","0.8517333904038304","0.005504277529201321"
"fold_ia64","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T16:51:52.000Z","76","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.000041650462662801147","1","","0.1601123595505618","0.1601123595505618","2.6857495369055333","0.004440021151956585"
"fold_i386","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T16:50:36.000Z","75","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.000004383586201583967","1","","0.9434331571736152","0.9434331571736152","0.14916243737097828","0.004444230613967495"
"fold_hppa","logo ResNet50Embedding instructionwidth_type 17:43:32, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T16:49:21.000Z","74","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","4","instructionwidthtype-resnet50embedding-21288728","0.000045885641156928614","1","","0.5726708074534161","0.5726708074534161","1.483208304173068","0.0050234191961237564"
