"Name","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy","test_loss","train_loss"
"fold_s390","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:45:25.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.00385716394521296","1","","0.0139426800929512","0.0139426800929512","3.7637963118376554","0.028991043772792532"
"fold_riscv64","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:44:24.000Z","60","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.04331531748175621","1","","0.3810810810810811","0.3810810810810811","2.3295698438371932","0.02708275617651509"
"fold_ppc64el","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:43:24.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.0008997885161079466","1","","0.9716151007663922","0.9716151007663922","0.0944399587211332","0.02833549190513785"
"fold_ppc64","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:42:23.000Z","60","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.048735179007053375","1","","0.5739498764560537","0.5739498764560537","1.2997651325331794","0.024685931846617052"
"fold_powerpcspe","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:41:22.000Z","59","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.051520511507987976","1","","0.9871244635193132","0.9871244635193132","0.052901566708310234","0.025350022798478217"
"fold_powerpc","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:40:23.000Z","58","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.001628023921512067","1","","0.9953180941889288","0.9953180941889288","0.014854313176648136","0.028906376870320948"
"fold_mipsel","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:39:24.000Z","57","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.097050242125988","1","","0.4015894039735099","0.4015894039735099","2.124457116854393","0.025667697239913956"
"fold_mips64el","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:38:26.000Z","57","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.010905511677265167","1","","0.9359925788497218","0.9359925788497218","0.16442767892251997","0.02730765080133154"
"fold_mips","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:37:27.000Z","57","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.007038303650915623","1","","0.22187938288920056","0.22187938288920056","3.0667724907398224","0.022206915913271345"
"fold_m68k","logo ResNet50 endianness 12:29:10, 07-03-2025","finished","-","","","2025-03-07T11:36:28.000Z","58","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","true","LOGO_architecture_wandb","4","mikkel-03-07-resnet-endianness","0.0625079944729805","1","","0.0425","0.0425","13.467028258503348","0.02698896118515509"
