"Name","Hostname","Group","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_loss","train_loss"
"fold_riscv64","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:18:12.000Z","112","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.01502828113734722","1","","0.8997747747747747","0.8997747747747747","0.2528634066028254","0.027963013471436843"
"fold_ppc64el","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:16:15.000Z","116","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.3623168468475342","1","","0.9991484530229918","0.9991484530229918","0.005939570540899045","0.029934044210887262"
"fold_ppc64","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:14:19.000Z","115","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.005608296953141689","1","","0.9887045534768796","0.9887045534768796","0.0411055530110995","0.027117624846455086"
"fold_powerpcspe","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:12:28.000Z","109","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.0006892553647048771","1","","0.9962130775056804","0.9962130775056804","0.01422584562697598","0.029043385026787945"
"fold_powerpc","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:10:34.000Z","112","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.001759414211846888","1","","0.999173781327458","0.999173781327458","0.005781519835357342","0.029164914271798275"
"fold_mipsel","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:08:45.000Z","108","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.00008703599451109767","1","","0.9856953642384106","0.9856953642384106","0.04690908000536137","0.02635699781844954"
"fold_mips64el","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:06:57.000Z","107","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.0029675671830773354","1","","0.9408627087198516","0.9408627087198516","0.1513355926555746","0.028274840786107387"
"fold_mips","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:05:10.000Z","106","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.122549369931221","1","","0.9966339410939692","0.9966339410939692","0.012923505061605414","0.029240464950513113"
"fold_m68k","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:03:25.000Z","103","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.03254387527704239","1","","0.9265909090909092","0.9265909090909092","0.22248074558118117","0.028128668331232353"
"fold_ia64","idun-09-15","logo ResNet50 instructionwidth_type 06:50:01, 14-03-2025","finished","-","","","2025-03-14T06:01:40.000Z","103","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50","","","","2","","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","32","3","","true","LOGO_architecture_wandb","4","all-experiments-21262944","0.00008299659384647384","1","","0.00020064205457463884","0.00020064205457463884","5.63637926028325","0.02814459221883418"
